diaName,signalName,StartMeter,EndMeter
1107A,大道寺下り出発2L,20.79261,561.8784
1107A,江ノ原検車区下り場内1LA,561.8784,848.39
1107A,下り閉塞151,848.39,1367.3275
1107A,下り閉塞145,1367.3275,1649.0491
1107A,下り閉塞143,1649.0491,2143.0396
1107A,下り閉塞137,2143.0396,2500.5752
1107A,新野崎下り場内5LA,2500.5752,2828.7397
1107A,新野崎下り場内3L,2828.7397,2974.8582
1107A,新野崎下り出発1L,2974.8582,3524.8303
1107A,下り閉塞123,3524.8303,4121.4185
1107A,下り閉塞117,4121.4185,4723.452
1107A,下り閉塞111,4723.452,5280.352
1107A,下り閉塞105,5280.352,5603.2964
1107A,下り閉塞103,5603.2964,6059.555
1107A,浜園下り場内2L,6059.555,6428.3774
1107A,浜園下り出発1L,6428.3774,6998.7905
1107A,下り閉塞89,6998.7905,7542.955
1107A,津崎下り場内3LA,7542.955,7909.3643
1107A,津崎下り出発1L,7909.3643,8424.602
1107A,下り閉塞75,8424.602,8797.24
1107A,下り閉塞71,8797.24,9195.408
1107A,下り閉塞67,9195.408,9881.051
1107A,下り閉塞59,9881.051,10445.29
1107A,下り閉塞55,10445.29,10945.76
1107A,下り閉塞49,10945.76,11444.674
1107A,下り閉塞45,11444.674,11846.009
1107A,下り閉塞41,11846.009,12481.964
1107A,下り閉塞35,12481.964,13168.351
1107A,下り閉塞27,13168.351,13680.844
1107A,駒野下り場内11LA,13680.844,14181.784
1107A,駒野下り出発2L,14181.784,14608.3955
1107A,駒野下り出発1L,14608.3955,14920.901
1107A,下り閉塞9,14920.901,15162.057
1107A,下り閉塞7,15162.057,15413.773
1107A,館浜下り場内1LB,15413.773,15883.65
