diaName,signalName,StartMeter,EndMeter
1209A,大道寺下り出発2L,20.79261,561.8778
1209A,江ノ原検車区下り場内1LA,561.8778,848.3855
1209A,下り閉塞151,848.3855,1367.3207
1209A,下り閉塞145,1367.3207,1649.0498
1209A,下り閉塞143,1649.0498,2142.988
1209A,下り閉塞137,2142.988,2500.5688
1209A,新野崎下り場内5LA,2500.5688,2828.7449
1209A,新野崎下り場内3L,2828.7449,2974.8591
1209A,新野崎下り出発1L,2974.8591,3524.8418
1209A,下り閉塞123,3524.8418,4121.4844
1209A,下り閉塞117,4121.4844,4723.4595
1209A,下り閉塞111,4723.4595,5280.369
1209A,下り閉塞105,5280.369,5603.3154
1209A,下り閉塞103,5603.3154,6059.5674
1209A,浜園下り場内2L,6059.5674,6428.401
1209A,浜園下り出発1L,6428.401,6998.8257
1209A,下り閉塞89,6998.8257,7542.9736
1209A,津崎下り場内3LA,7542.9736,7909.385
1209A,津崎下り出発1L,7909.385,8424.615
1209A,下り閉塞75,8424.615,8797.272
1209A,下り閉塞71,8797.272,9195.43
1209A,下り閉塞67,9195.43,9881.085
1209A,下り閉塞59,9881.085,10445.326
1209A,下り閉塞55,10445.326,10945.802
1209A,下り閉塞49,10945.802,11444.731
1209A,下り閉塞45,11444.731,11846.029
1209A,下り閉塞41,11846.029,12481.998
1209A,下り閉塞35,12481.998,13168.38
1209A,下り閉塞27,13168.38,13680.903
1209A,駒野下り場内11LA,13680.903,14181.785
1209A,駒野下り出発2L,14181.785,14608.42
1209A,駒野下り出発1L,14608.42,14920.927
1209A,下り閉塞9,14920.927,15162.106
1209A,下り閉塞7,15162.106,15413.859
1209A,館浜下り場内1L,15413.859,15883.68
