diaName,signalName,StartMeter,EndMeter
1284C,館浜上り出発3R,77.66745,382.11572
1284C,上り閉塞6,382.11572,579.0002
1284C,上り閉塞8,579.0002,1068.3474
1284C,駒野上り場内1RA,1068.3474,1487.2136
1284C,駒野上り場内2RA,1487.2136,1792.7504
1284C,駒野上り出発4R,1792.7504,2404.3147
1284C,上り閉塞26,2404.3147,2860.5244
1284C,上り閉塞30,2860.5244,3461.202
1284C,上り閉塞36,3461.202,4108.092
1284C,上り閉塞42,4108.092,4711.4023
1284C,上り閉塞48,4711.4023,5401.778
1284C,上り閉塞56,5401.778,6081.0024
1284C,上り閉塞62,6081.0024,6682.0054
1284C,上り閉塞68,6682.0054,7236.35
1284C,上り閉塞74,7236.35,7657.277
1284C,津崎上り場内1RA,7657.277,8053.1553
1284C,津崎上り出発3R,8053.1553,8448.038
1284C,上り閉塞86,8448.038,8953.005
1284C,上り閉塞92,8953.005,9319.484
1284C,浜園上り場内1R,9319.484,9545.859
1284C,浜園上り出発2R,9545.859,10127.374
1284C,上り閉塞102,10127.374,10687.43
1284C,上り閉塞108,10687.43,11283.583
1284C,上り閉塞114,11283.583,11837.423
1284C,上り閉塞120,11837.423,12201.575
1284C,上り閉塞124,12201.575,12647.107
1284C,新野崎上り場内1RA,12647.107,13025.151
1284C,新野崎上り出発12R,13025.151,13438.384
1284C,上り閉塞136,13438.384,13922.432
1284C,上り閉塞142,13922.432,14388.075
1284C,上り閉塞146,14388.075,14887.7705
1284C,江ノ原検車区上り場内1RA,14887.7705,15392.239
1284C,上り閉塞156,15392.239,15597.68
1284C,大道寺上り場内1R,15597.68,15802.807
1284C,大道寺上り場内3R,15802.807,15936.144
1284C,大道寺入換105R,15936.144,16133.513
1284C,大道寺入換110R,16133.513,16283.25
