diaName,signalName,StartMeter,EndMeter
1284C,館浜上り出発3R,57.24713,361.6966
1284C,上り閉塞6,361.6966,558.5693
1284C,上り閉塞8,558.5693,1047.9249
1284C,駒野上り場内1RA,1047.9249,1466.795
1284C,駒野上り場内2RA,1466.795,1772.332
1284C,駒野上り出発4R,1772.332,2383.9072
1284C,上り閉塞26,2383.9072,2840.1125
1284C,上り閉塞30,2840.1125,3440.7866
1284C,上り閉塞36,3440.7866,4087.6733
1284C,上り閉塞42,4087.6733,4690.984
1284C,上り閉塞48,4690.984,5381.349
1284C,上り閉塞56,5381.349,6060.579
1284C,上り閉塞62,6060.579,6661.5864
1284C,上り閉塞68,6661.5864,7215.928
1284C,上り閉塞74,7215.928,7636.865
1284C,津崎上り場内1RA,7636.865,8032.7334
1284C,津崎上り出発3R,8032.7334,8427.615
1284C,上り閉塞86,8427.615,8932.584
1284C,上り閉塞92,8932.584,9299.058
1284C,浜園上り場内1R,9299.058,9525.425
1284C,浜園上り出発2R,9525.425,10106.927
1284C,上り閉塞102,10106.927,10666.975
1284C,上り閉塞108,10666.975,11263.142
1284C,上り閉塞114,11263.142,11816.978
1284C,上り閉塞120,11816.978,12181.127
1284C,上り閉塞124,12181.127,12626.6455
1284C,新野崎上り場内1RA,12626.6455,13004.717
1284C,新野崎上り出発12R,13004.717,13417.93
1284C,上り閉塞136,13417.93,13902.057
1284C,上り閉塞142,13902.057,14367.651
1284C,上り閉塞146,14367.651,14867.36
1284C,江ノ原検車区上り場内1RA,14867.36,15371.815
1284C,上り閉塞156,15371.815,15577.266
1284C,大道寺上り場内1RB,15577.266,15782.387
1284C,大道寺上り場内3R,15782.387,15915.699
1284C,大道寺入換105R,15915.699,16113.07
1284C,大道寺入換110R,16113.07,16282.86
