diaName,signalName,StartMeter,EndMeter
3643K,大道寺下り出発2L,18.59504,559.6706
3643K,江ノ原検車区下り場内1LA,559.6706,846.1852
3643K,下り閉塞151,846.1852,1365.1064
3643K,下り閉塞145,1365.1064,1646.8406
3643K,下り閉塞143,1646.8406,2140.8003
3643K,下り閉塞137,2140.8003,2498.4077
3643K,新野崎下り場内5LA,2498.4077,2826.5344
3643K,新野崎下り場内3L,2826.5344,2972.655
3643K,新野崎下り出発1L,2972.655,3522.6353
3643K,下り閉塞123,3522.6353,4119.271
3643K,下り閉塞117,4119.271,4721.257
3643K,下り閉塞111,4721.257,5278.1587
3643K,下り閉塞105,5278.1587,5601.095
3643K,下り閉塞103,5601.095,6057.3516
3643K,浜園下り場内2L,6057.3516,6426.1787
3643K,浜園下り出発1L,6426.1787,6996.574
3643K,下り閉塞89,6996.574,7540.7427
3643K,津崎下り場内3LA,7540.7427,7907.1553
3643K,津崎下り出発1L,7907.1553,8422.385
3643K,下り閉塞75,8422.385,8795.044
3643K,下り閉塞71,8795.044,9193.201
3643K,下り閉塞67,9193.201,9878.832
3643K,下り閉塞59,9878.832,10443.059
3643K,下り閉塞55,10443.059,10943.528
3643K,下り閉塞49,10943.528,11442.452
3643K,下り閉塞45,11442.452,11843.744
3643K,下り閉塞41,11843.744,12479.714
3643K,下り閉塞35,12479.714,13166.099
3643K,下り閉塞27,13166.099,13678.611
3643K,駒野下り場内11LA,13678.611,14179.506
3643K,駒野下り出発2L,14179.506,14606.136
3643K,駒野下り出発1L,14606.136,14918.651
3643K,下り閉塞9,14918.651,15159.845
3643K,下り閉塞7,15159.845,15411.519
3643K,館浜下り場内1LB,15411.519,15883.77
