diaName,signalName,StartMeter,EndMeter
550B,館浜上り出発3R,16.70475,320.917
550B,上り閉塞6,320.917,517.7962
550B,上り閉塞8,517.7962,1007.145
550B,駒野上り場内1RA,1007.145,1426.0134
550B,駒野上り場内2RA,1426.0134,1731.5388
550B,駒野上り出発4R,1731.5388,2343.1125
550B,上り閉塞26,2343.1125,2799.3274
550B,上り閉塞30,2799.3274,3400.004
550B,上り閉塞36,3400.004,4046.8855
550B,上り閉塞42,4046.8855,4650.1978
550B,上り閉塞48,4650.1978,5340.586
550B,上り閉塞56,5340.586,6019.8125
550B,上り閉塞62,6019.8125,6620.8237
550B,上り閉塞68,6620.8237,7175.1665
550B,上り閉塞74,7175.1665,7596.105
550B,津崎上り場内1RA,7596.105,7991.9766
550B,津崎上り出発3R,7991.9766,8386.862
550B,上り閉塞86,8386.862,8891.836
550B,上り閉塞92,8891.836,9258.315
550B,浜園上り場内1R,9258.315,9484.688
550B,浜園上り出発2R,9484.688,10066.187
550B,上り閉塞102,10066.187,10626.221
550B,上り閉塞108,10626.221,11222.38
550B,上り閉塞114,11222.38,11776.241
550B,上り閉塞120,11776.241,12140.381
550B,上り閉塞124,12140.381,12585.906
550B,新野崎上り場内1RA,12585.906,12963.956
550B,新野崎上り出発12R,12963.956,13377.184
550B,上り閉塞136,13377.184,13861.186
550B,上り閉塞142,13861.186,14326.8955
550B,上り閉塞146,14326.8955,14826.585
550B,江ノ原検車区上り場内1RA,14826.585,15331.043
550B,上り閉塞156,15331.043,15536.499
550B,大道寺上り場内1RA,15536.499,15741.654
550B,大道寺上り場内2R,15741.654,15888.39
