diaName,signalName,StartMeter,EndMeter
572,駒野入換110R,6.13478,910.9619
572,上り閉塞26,910.9619,1367.1501
572,上り閉塞30,1367.1501,1967.8362
572,上り閉塞36,1967.8362,2614.709
572,上り閉塞42,2614.709,3218.0327
572,上り閉塞48,3218.0327,3908.4116
572,上り閉塞56,3908.4116,4587.625
572,上り閉塞62,4587.625,5188.647
572,上り閉塞68,5188.647,5742.99
572,上り閉塞74,5742.99,6163.9526
572,津崎上り場内1RA,6163.9526,6559.7974
572,津崎上り出発3R,6559.7974,6954.675
572,上り閉塞86,6954.675,7459.6475
572,上り閉塞92,7459.6475,7826.1206
572,浜園上り場内1R,7826.1206,8052.5
572,浜園上り出発2R,8052.5,8054.0854
572,浜園入換102R,8054.0854,8209.768
