diaName,signalName,StartMeter,EndMeter
678B,館浜上り出発2R,53.91483,352.5084
678B,上り閉塞6,352.5084,549.3856
678B,上り閉塞8,549.3856,1038.7404
678B,駒野上り場内1RA,1038.7404,1457.6084
678B,駒野上り場内2RA,1457.6084,1763.1371
678B,駒野上り出発4R,1763.1371,2374.714
678B,上り閉塞26,2374.714,2830.9285
678B,上り閉塞30,2830.9285,3431.5967
678B,上り閉塞36,3431.5967,4078.4836
678B,上り閉塞42,4078.4836,4681.7954
678B,上り閉塞48,4681.7954,5372.1807
678B,上り閉塞56,5372.1807,6051.4023
678B,上り閉塞62,6051.4023,6652.4175
678B,上り閉塞68,6652.4175,7206.7583
678B,上り閉塞74,7206.7583,7627.694
678B,津崎上り場内1RA,7627.694,8023.561
678B,津崎上り出発3R,8023.561,8418.447
678B,上り閉塞86,8418.447,8923.435
678B,上り閉塞92,8923.435,9289.923
678B,浜園上り場内1R,9289.923,9516.292
678B,浜園上り出発2R,9516.292,10097.785
678B,上り閉塞102,10097.785,10657.848
678B,上り閉塞108,10657.848,11254.024
678B,上り閉塞114,11254.024,11807.881
678B,上り閉塞120,11807.881,12172.056
678B,上り閉塞124,12172.056,12617.558
678B,新野崎上り場内1RA,12617.558,12995.607
678B,新野崎上り出発12R,12995.607,13408.828
678B,上り閉塞136,13408.828,13892.848
678B,上り閉塞142,13892.848,14358.529
678B,上り閉塞146,14358.529,14858.256
678B,江ノ原検車区上り場内1RA,14858.256,15362.687
678B,上り閉塞156,15362.687,15568.133
678B,大道寺上り場内1R,15568.133,15773.3
678B,大道寺上り場内2R,15773.3,15920.85
