diaName,signalName,StartMeter,EndMeter
767,新野崎入換101L,5.144751,264.60458
767,新野崎入換104L,264.60458,410.2991
767,新野崎下り出発2L,410.2991,961.3872
767,下り閉塞123,961.3872,1557.9696
767,下り閉塞117,1557.9696,2160.0076
767,下り閉塞111,2160.0076,2716.9102
767,下り閉塞105,2716.9102,3039.8477
767,下り閉塞103,3039.8477,3496.1008
767,浜園下り場内2L,3496.1008,3864.924
767,浜園下り出発1L,3864.924,4435.3213
767,下り閉塞89,4435.3213,4980.0513
767,津崎下り場内3LB,4980.0513,5344.5757
767,津崎下り出発2L,5344.5757,5858.9487
767,下り閉塞75,5858.9487,6231.603
767,下り閉塞71,6231.603,6629.7676
767,下り閉塞67,6629.7676,7315.3867
767,下り閉塞59,7315.3867,7879.641
767,下り閉塞55,7879.641,8380.101
767,下り閉塞49,8380.101,8879.045
767,下り閉塞45,8879.045,9280.333
767,下り閉塞41,9280.333,9916.294
767,下り閉塞35,9916.294,10602.666
767,下り閉塞27,10602.666,11115.189
767,駒野下り場内11LA,11115.189,11616.08
767,駒野下り出発2L,11616.08,12042.67
767,駒野下り出発1L,12042.67,12355.166
767,下り閉塞9,12355.166,12596.308
767,下り閉塞7,12596.308,12848.03
767,館浜下り場内1LD,12848.03,13298.27
