diaName,signalName,StartMeter,EndMeter
796K,館浜上り出発2R,12.81667,311.4125
796K,上り閉塞6,311.4125,508.29608
796K,上り閉塞8,508.29608,997.6439
796K,駒野上り場内1RA,997.6439,1416.5115
796K,駒野上り場内2RA,1416.5115,1722.0364
796K,駒野上り出発4R,1722.0364,2333.6194
796K,上り閉塞26,2333.6194,2789.8389
796K,上り閉塞30,2789.8389,3390.502
796K,上り閉塞36,3390.502,4037.3826
796K,上り閉塞42,4037.3826,4640.715
796K,上り閉塞48,4640.715,5331.0776
796K,上り閉塞56,5331.0776,6010.3115
796K,上り閉塞62,6010.3115,6611.3105
796K,上り閉塞68,6611.3105,7165.652
796K,上り閉塞74,7165.652,7586.6084
796K,津崎上り場内1RA,7586.6084,7982.46
796K,津崎上り出発3R,7982.46,8377.339
796K,上り閉塞86,8377.339,8882.322
796K,上り閉塞92,8882.322,9248.805
796K,浜園上り場内1R,9248.805,9475.184
796K,浜園上り出発2R,9475.184,10056.674
796K,上り閉塞102,10056.674,10616.732
796K,上り閉塞108,10616.732,11212.891
796K,上り閉塞114,11212.891,11766.742
796K,上り閉塞120,11766.742,12130.912
796K,上り閉塞124,12130.912,12576.424
796K,新野崎上り場内1RA,12576.424,12954.48
796K,新野崎上り出発12R,12954.48,13367.686
796K,上り閉塞136,13367.686,13851.821
796K,上り閉塞142,13851.821,14317.389
796K,上り閉塞146,14317.389,14817.127
796K,江ノ原検車区上り場内1RA,14817.127,15321.543
796K,上り閉塞156,15321.543,15526.993
796K,大道寺上り場内1R,15526.993,15732.16
796K,大道寺上り場内2R,15732.16,15880.63
