diaName,signalName,StartMeter,EndMeter
回503A,江ノ原検車区下り出発2L,6.401961,279.651
回503A,下り閉塞151,279.651,798.85535
回503A,下り閉塞145,798.85535,1080.5942
回503A,下り閉塞143,1080.5942,1574.528
回503A,下り閉塞137,1574.528,1932.1053
回503A,新野崎下り場内5LA,1932.1053,2260.2954
回503A,新野崎下り場内3L,2260.2954,2406.4097
回503A,新野崎下り出発1L,2406.4097,2956.392
回503A,下り閉塞123,2956.392,3553.0063
回503A,下り閉塞117,3553.0063,4155.0156
回503A,下り閉塞111,4155.0156,4711.916
回503A,下り閉塞105,4711.916,5034.8545
回503A,下り閉塞103,5034.8545,5491.1055
回503A,浜園下り場内2L,5491.1055,5859.9287
回503A,浜園下り出発1L,5859.9287,6430.3184
回503A,下り閉塞89,6430.3184,6974.4893
回503A,津崎下り場内3LA,6974.4893,7340.909
回503A,津崎下り出発1L,7340.909,7856.134
回503A,下り閉塞75,7856.134,8228.779
回503A,下り閉塞71,8228.779,8626.947
回503A,下り閉塞67,8626.947,9312.556
回503A,下り閉塞59,9312.556,9876.794
回503A,下り閉塞55,9876.794,10377.263
回503A,下り閉塞49,10377.263,10876.197
回503A,下り閉塞45,10876.197,11277.5
回503A,下り閉塞41,11277.5,11913.477
回503A,下り閉塞35,11913.477,12599.844
回503A,下り閉塞27,12599.844,13112.325
回503A,駒野下り場内11LA,13112.325,13613.237
回503A,駒野下り出発2L,13613.237,14039.849
回503A,駒野下り出発1L,14039.849,14352.357
回503A,下り閉塞9,14352.357,14593.542
回503A,下り閉塞7,14593.542,14845.276
