diaName,signalName,StartMeter,EndMeter
回607A,江ノ原検車区下り出発2L,4.415051,277.6643
回607A,下り閉塞151,277.6643,796.8651
回607A,下り閉塞145,796.8651,1078.6036
回607A,下り閉塞143,1078.6036,1572.5559
回607A,下り閉塞137,1572.5559,1930.1115
回607A,新野崎下り場内5LA,1930.1115,2258.2979
回607A,新野崎下り場内3L,2258.2979,2404.4177
回607A,新野崎下り出発1L,2404.4177,2954.3977
回607A,下り閉塞123,2954.3977,3551.0002
回607A,下り閉塞117,3551.0002,4153.021
回607A,下り閉塞111,4153.021,4709.927
回607A,下り閉塞105,4709.927,5032.8604
回607A,下り閉塞103,5032.8604,5489.1167
回607A,浜園下り場内2L,5489.1167,5857.9316
回607A,浜園下り出発1L,5857.9316,6428.328
回607A,下り閉塞89,6428.328,6972.481
回607A,津崎下り場内3LA,6972.481,7338.9146
回607A,津崎下り出発1L,7338.9146,7854.141
回607A,下り閉塞75,7854.141,8226.794
回607A,下り閉塞71,8226.794,8624.967
回607A,下り閉塞67,8624.967,9310.591
回607A,下り閉塞59,9310.591,9874.838
回607A,下り閉塞55,9874.838,10375.3125
回607A,下り閉塞49,10375.3125,10874.22
回607A,下り閉塞45,10874.22,11275.515
回607A,下り閉塞41,11275.515,11911.484
回607A,下り閉塞35,11911.484,12597.854
回607A,下り閉塞27,12597.854,13110.402
回607A,駒野下り場内11LA,13110.402,13611.285
回607A,駒野下り出発2L,13611.285,14037.916
回607A,駒野下り出発1L,14037.916,14350.421
回607A,下り閉塞9,14350.421,14591.58
回607A,下り閉塞7,14591.58,14843.278
回607A,館浜下り場内1LA,14843.278,15242.35
