diaName,signalName,StartMeter,EndMeter
回7191,江ノ原検車区下り出発2L,6.401961,279.6517
回7191,下り閉塞151,279.6517,798.8637
回7191,下り閉塞145,798.8637,1080.5985
回7191,下り閉塞143,1080.5985,1574.5532
回7191,下り閉塞137,1574.5532,1932.1475
回7191,新野崎下り場内5LA,1932.1475,2260.293
回7191,新野崎下り場内3L,2260.293,2406.4084
回7191,新野崎下り出発1L,2406.4084,2956.3938
回7191,下り閉塞123,2956.3938,3553.0054
回7191,下り閉塞117,3553.0054,4155.015
回7191,下り閉塞111,4155.015,4711.911
回7191,下り閉塞105,4711.911,5034.8506
回7191,下り閉塞103,5034.8506,5491.1064
回7191,浜園下り場内2L,5491.1064,5859.9272
回7191,浜園下り出発1L,5859.9272,6430.328
回7191,下り閉塞89,6430.328,6974.489
回7191,津崎下り場内3LA,6974.489,7340.9053
回7191,津崎下り出発1L,7340.9053,7856.1343
回7191,下り閉塞75,7856.1343,8228.781
回7191,下り閉塞71,8228.781,8626.947
回7191,下り閉塞67,8626.947,9312.597
回7191,下り閉塞59,9312.597,9876.801
回7191,下り閉塞55,9876.801,10377.277
回7191,下り閉塞49,10377.277,10876.184
回7191,下り閉塞45,10876.184,11277.488
回7191,下り閉塞41,11277.488,11913.45
回7191,下り閉塞35,11913.45,12599.81
回7191,下り閉塞27,12599.81,13112.309
回7191,駒野下り場内11LA,13112.309,13613.229
回7191,駒野下り出発2L,13613.229,14039.838
回7191,駒野下り出発1L,14039.838,14352.339
回7191,下り閉塞9,14352.339,14593.529
回7191,下り閉塞7,14593.529,14845.234
回7191,館浜下り場内1LA,14845.234,15314.92
