diaName,signalName,StartMeter,EndMeter
回980,館浜上り出発3R,77.6665,382.1185
回980,上り閉塞6,382.1185,578.99646
回980,上り閉塞8,578.99646,1068.338
回980,駒野上り場内1RA,1068.338,1487.2186
回980,駒野上り場内2RA,1487.2186,1792.7493
回980,駒野上り出発4R,1792.7493,2404.3213
回980,上り閉塞26,2404.3213,2860.5244
回980,上り閉塞30,2860.5244,3461.205
回980,上り閉塞36,3461.205,4108.086
回980,上り閉塞42,4108.086,4711.396
回980,上り閉塞48,4711.396,5401.7656
回980,上り閉塞56,5401.7656,6080.9756
回980,上り閉塞62,6080.9756,6681.987
回980,上り閉塞68,6681.987,7236.328
回980,上り閉塞74,7236.328,7657.2974
回980,津崎上り場内1RA,7657.2974,8053.141
回980,津崎上り出発3R,8053.141,8448.023
回980,上り閉塞86,8448.023,8952.988
回980,上り閉塞92,8952.988,9319.451
回980,浜園上り場内1R,9319.451,9545.834
回980,浜園上り出発2R,9545.834,10127.333
回980,上り閉塞102,10127.333,10687.375
回980,上り閉塞108,10687.375,11283.549
回980,上り閉塞114,11283.549,11837.423
回980,上り閉塞120,11837.423,12201.566
回980,上り閉塞124,12201.566,12647.379
回980,新野崎上り場内1RB,12647.379,13027.11
回980,新野崎上り出発11R,13027.11,13439.097
回980,上り閉塞136,13439.097,13923.143
回980,上り閉塞142,13923.143,14388.791
回980,上り閉塞146,14388.791,14889.09
回980,江ノ原検車区上り場内1RC,14889.09,15341.32
